ID_publikacji	Autor	Tytul	Wydawnictwo	Rok wydania	Format	Cena	ID_dziedziny
e550	Arthur Conan Doyle	Ksiega wszystkich dokonan Sherlocka Holmesa. 	Rea 	2011	multiformat	20.99	d04
e1765	Aleksandra Zawislak	Wybrane zagadnienia z pedagogiki specjalnej. 	Oficyna Wydawnicza IMPULS 	2009	pdf	15.99	d07
a1689	Jaroslaw Gugala 	Doskonale, a nawet gorzej 	Albatros 	2012	mp3	28.99	d03
e333	Mieczyslaw Sobczyk	Matematyka finansowa. Podstawy teoretyczne, przyklady, zadania.	Placet 	2011	pdf	39.99	d06
e1401	Praca zbiorowa	Hotelarstwo. Uslugi - eksploatacja - zarzadzanie	Wydawnictwo Naukowe PWN 	2008	epub	4.99	d01
e661	Agnieszka Zywanowska	Agresja u osob z lekka niepelnosprawnoscia intelektualna. Wielowymiarowosc uwarunkowan	Oficyna Wydawnicza IMPULS 	2009	pdf	20.99	d07
e751	Tomasz Dominik Gwiazda	Algorytmy genetyczne. Kompendium, t. 2. Operator mutacji dla problemow numerycznych	Wydawnictwo Naukowe PWN 	2007	mobi	4.99	d02
e1581	Wojciech Zakowski, Witold Kolodziej	Matematyka Czesc 2. Analiza matematyczna	Wydawnictwo WNT 	2012	epub	4.99	d06
a506	Andrzej Sarwa	Udreczeni przez demony. 	Armoryka 	2009	mp3	8.99	d05
a357	Alfonso Signorini 	Marilyn. Zyc i umrzec z milosci 	Swiat Ksiazki 	2012	mp3	25.99	d03
e297	Bernard Zietek	Optoelektronika. 	Wydawnictwo Naukowe Uniwersytetu Mikolaja Kopernika 	2011	pdf	38.99	d06
e798	Wieslawa Regel	Podstawy statystyki w Excelu. 	Wydawnictwo Naukowe PWN 	2007	epub	4.99	d02
e1276	Aleksandra Luszczynska	Nadwaga i otylosc. Interwencje psychologiczne	Wydawnictwo Naukowe PWN 	2007	epub	4.99	d07
e258	Scott L Cameron	Microsoft SQL Server 2008 Analysis Services Krok po kroku. 	Promise 	2016	pdf	75.99	d02
a1207	Melchior Wankowicz 	Szczeniece lata 	Heraclon 	2014	mp3	15.99	d03
e1116	Jerzy Kisielnicki	Zarzadzanie i informatyka. 	Placet 	2014	pdf	65.99	d02
a826	Robert Maciag	Tysiac szklanek herbaty. Spotkania na Jedwabnym Szlaku 	Helion 	2016	mp3	25.99	d03
e1117	Jacek Bylica	Harmonizujac napiecie. Nowe spojrzenie w profilaktyce uzaleznien. 	Wydawnictwo Uniwersytetu Jagiellonskiego 	2010	epub	4.99	d07
a220	Hanna Bakula	Samiec alfa, czyli jak wytrzymac z facetem 	National Geographic 	2014	mp3	21.99	d04
e2051	Dorota Kozicka	"""Chamuly"", ""gnidy"", ""przemilczacze"".. Antologia dwudziestowiecznego pamfletu polskiego"	Universitas 	2011	pdf	8.99	d05
e159	Malgorzata Zaryn, Alicja Dybkowska, Jan Zaryn	Polskie dzieje. Od czasow najdawniejszych do wspolczesnosci. 	Wydawnictwo Naukowe PWN 	2007	mobi	4.99	d05
e1565	Redakcja: Ewa Szczesna, Edward Kasperski	Komparatystyka dzisiaj tom 1. problemy teoretyczne	Universitas 	2010	pdf	7.99	d05
e1635	Andrzej Stasiak, Wlodzimierz Dabrowski, Michal Wolski	Modelowanie systemow informatycznych w jezyku UML 2.1. 	Wydawnictwo Naukowe PWN 	2009	mobi	4.99	d02
e1123	Waldemar Weglarz, Alicja Zarowska-Mazur	PowerPoint 2010. Praktyczny kurs. 	Wydawnictwo Naukowe PWN 	2012	multiformat	13.99	d02
a658	Tomas Sedlacek 	Zmierzch Homo Economicus 	Studio Emka, 	2012	mp3	17.99	d07
e594	Alfred Reszkiewicz	A Diachronic Grammar of Old English. 	Wydawnictwo Naukowe PWN 	1996	epub	4.99	d05
e1948	Adam Ziolkowski	Historia powszechna. Starozytnosc. 	Wydawnictwo Naukowe PWN 	2009	multiformat	55.99	d05
e625	Redakcja: Beata Meyer	Obsluga ruchu turystycznego. 	Wydawnictwo Naukowe PWN 	2008	epub	4.99	d01
e1370	Wladyslaw Lozinski	Oko proroka. 	Literatura Net Pl 	2000	mobi	5.99	d04
e1440	Czeslaw Bywalec	Konsumpcja w teorii i praktyce gospodarowania. 	Wydawnictwo Naukowe PWN 	2007	epub	4.99	d01
e948	Marta Kowalczuk	Pedagogiczna diagnoza i profilaktyka zaburzen odzywiania sie u mlodziezy szkolnej. 	Oficyna Wydawnicza IMPULS 	2008	pdf	18.99	d07
e1695	Augustyn Chwaleba, Maciej Poninski, Andrzej Siedlecki	Metrologia elektryczna. 	Wydawnictwo WNT 	2014	epub	4.99	d06
e734	Krzysztof Fedorowicz	Polityka Polski wobec Rosji, Ukrainy i Bialorusi w latach 1989-2010. 	Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza 	2011	epub	4.99	d07
e185	Jacek Marciniak	Inteligentne systemy e-learningowe wykorzystujace ontologie typu word.net. 	Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza 	2015	epub	4.99	d02
e1351	Krzysztof Szymanek, Krzysztof A. Wieczorek, Andrzej S. Wojcik	Sztuka argumentacji. Cwiczenia w badaniu argumentow	Wydawnictwo Naukowe PWN 	2008	mobi	4.99	d05
e324	Redakcja: Alicja Kargulowa	Poradoznawstwo - kontynuacja dyskursu. 	Wydawnictwo Naukowe PWN 	2009	mobi	4.99	d07
e181	Redakcja: Jakub Steblik, Lukasz Sochacki, Filip Wroblewski	Antropologia zaangazowana. Prace Etnograficzne	Wydawnictwo Uniwersytetu Jagiellonskiego 	2010	mobi	4.99	d05
e1352	Franciszek Bereznicki	Prace magisterskie z pedagogiki. 	Oficyna Wydawnicza IMPULS 	2008	pdf	15.99	d07
e863	Grazyna Plebanek	Bokserka. 	W.A.B. 	2014	multiformat	23.99	d04
a514	Pascale Rousseau	Ekspresowy kurs dla poczatkujacych. Francuski. 	LEKTORKLETT 	2009	mp3	47.99	d05
a872	Grzegorz Celeban	Mind Sale First. Umysl Sprzedaje Pierwszy. 	The Black Horse 	2013	mp3	27.99	d01
a172	Eliza Orzeszkowa 	Opowiadania i nowele  	ZIELONA SOWA 	2012	mp3	6.99	d04
a1476	Aud Broby-Ilg	Dunski w 1 miesiac. 	LEKTORKLETT 	2009	mp3	33.99	d05
e970	Marina Umaschi Bers, Mitchel Resnick	Oficjalny podrecznik ScratchJr. 	Wydawnictwo Naukowe PWN 	2016	mobi	30.99	d02
e543	Andrzej Stasiak, Wlodzimierz Dabrowski, Michal Wolski	Modelowanie systemow informatycznych w jezyku UML 2.1. 	Wydawnictwo Naukowe PWN 	2009	pdf	4.99	d02
e1306	Marta Guzowska, Agnieszka Krawczyk, Adrianna Michalewska	Kryminalny Wroclaw. Mroczne przechadzki po miescie	Oficynka 	2013	multiformat	25.99	d04
e1544	Bohdan Wieprzkowicz	Matematyka. 	WSEiZ 	2012	pdf	7.99	d06
e453	Henryk Ibsen	Dom lalki. 	Literatura Net Pl 	2002	epub	5.99	d04
e1247	Romuald Huszcza	Honoryfikatywnosc. Gramatyka. Pragmatyka. Typologia	Wydawnictwo Naukowe PWN 	2006	epub	4.99	d05
a1593	Jozef Ignacy Kraszewski 	Krzyzacy 1410 	Heraclon 	2014	mp3	13.99	d04
e638	Dawid Mazur	WordPress i Bootstrap. Bezplatnie i elastycznie. 	Wydawnictwo Naukowe PWN 	2015	multiformat	20.99	d02
e228	Beata Guzowska	Ucze sie liczyc. Lamiglowki. 6-8 lat. Dodawanie i odejmowanie do 30. 	LITERAT HENRYK PLONCZYNSKI 	2009	pdf	4.99	d06
e1701	Dariusz Makilla	Historia prawa w Polsce. 	Wydawnictwo Naukowe PWN 	2008	epub	4.99	d05
